talk_desc,event,talk_name,views,duration,tags,recorded_at,published on
"Juana Ramírez de Asbaje sat before a panel of prestigious theologians, jurists, and mathematicians. They had been invited to test Juana's knowledge with the most difficult questions they could muster. But she successfully answered every challenge, from complicated equations to philosophical queries. Who was this impressive woman? Theresa Yugar details the life of the Mexican poet and scholar. [Directed by WOW-HOW Studio, narrated by Christina Greer, music by Stephen LaRosa].",TED-Ed,"History's ""worst"" nun",4987647,272,"['animation', 'feminism', 'TED-Ed', 'education', 'culture', 'religion', 'history', 'world cultures', 'women', 'writing', 'poetry']",2019-11-21T00:00:00.000+00:00,1574354133
"As many as 3,000 languages could disappear within the next 80 years, all but silencing entire cultures. In this quick talk, language activist Daniel Bögre Udell shows how people around the world are finding new ways to revive ancestral languages and rebuild their traditions -- and encourages us all to investigate the tongues of our ancestors. ""Reclaiming your language and embracing your culture is a powerful way to be yourself,"" he says.",TED Residency,How to save a language from extinction,2188266,406,"['language', 'community', 'indigenous peoples', 'culture', 'humanity', 'world cultures', 'TED Residency']",2019-05-14T00:00:00.000+00:00,1574352122
"Artist and TED Fellow LaToya Ruby Frazier spent five months living in Flint, Michigan, documenting the lives of those affected by the city's water crisis for her photo essay ""Flint is Family."" As the crisis dragged on, she realized it was going to take more than a series of photos to bring relief. In this inspiring, surprising talk, she shares the creative lengths she went to in order to bring free, clean water to the people of Flint.",We the Future,"A creative solution for the water crisis in Flint, Michigan",2122406,709,"['photography', 'social change', 'water', 'art', 'activism', 'TED Fellows']",2019-09-24T00:00:00.000+00:00,1574265472
"There are more than 10,000 nuclear weapons in existence today, each one capable of causing immense destruction. Why don't we talk about this threat as much as some other major issues? In this practical talk, nuclear security expert Emma Belcher shares three questions you can ask your elected officials to gain a better understanding of nuclear weapons and the measures we need to stay safe.",TEDxMidAtlantic,3 questions we should ask about nuclear weapons,1957032,782,"['nuclear weapons', 'policy', 'Debate', 'democracy', 'humanity', 'global issues']",2019-03-29T00:00:00.000+00:00,1574196571
"In 1948, Spanish ophthalmologist Jose Ignacio Barraquer Moner was fed up with glasses. He wanted a solution for blurry vision that fixed the eye itself, without relying on external aids. The surgery he eventually devised was called ""keratomileusis,"" and his technique focused on reshaping the cornea— what we now know as LASIK. So how does laser eye surgery actually work? Dan Reinstein explains. [Directed by Hype CG, narrated by Addison Anderson].",TED-Ed,How does laser eye surgery work?,2138650,316,"['TED-Ed', 'education', 'science', 'animation', 'medicine', 'Surgery', 'medical research', 'health', 'health care', 'public health', 'healthcare', 'technology', 'biology', 'physiology']",2019-11-19T00:00:00.000+00:00,1574180009
"Why do we make poor decisions that we know are bad for our health? In this frank, funny talk, behavioral economist and health policy expert David Asch explains why our behavior is often irrational -- in highly predictable ways -- and shows how we can harness this irrationality to make better decisions and improve our health care system overall.",TEDMED 2018,Why it's so hard to make healthy decisions,3239811,1013,"['behavioral economics', 'health care', 'psychology', 'motivation', 'health', 'humanity', 'decision-making', 'TEDMED']",2018-11-14T00:00:00.000+00:00,1574178957
"India's big cities have some of the worst air quality in the world. How can we fix this public health crisis? In an actionable talk, social entrepreneur Arunabha Ghosh lays out a five-step plan to put India on the path to cleaner, safer air -- and shows how every citizen can play an active role in getting there.",TED Talks India: Nayi Baat,5 steps for clean air in India,243601,545,"['pollution', 'india', 'social change', 'health', 'science', 'environment', 'technology', 'Anthropocene']",2019-05-21T00:00:00.000+00:00,1574110708
"This is episode 3 of our animated series ""Think Like A Coder."" This 10-episode narrative follows a girl, Ethic, and her robot companion, Hedge, as they attempt to save the world. The two embark on a quest to collect three artifacts and must solve their way through a series of programming puzzles. [Directed by Kozmonot Animation Studio, narrated by Addison Anderson].",TED-Ed,"The Furnace Bots | Think Like A Coder, Ep 3",429550,355,"['animation', 'programming', 'TED-Ed', 'education', 'technology', 'code', 'engineering']",2019-11-18T00:00:00.000+00:00,1574101507
"¿Cómo hablas con alguien cuando su ideología le previene entender los hechos? Puedes celebrar el pluralismo de las ideas y escuchar con empatía, dice la docente y bióloga, la Dra. Guadalupe Nogués.",TEDxRiodelaPlata,Como hablar con otros que piensan distinto,1225602,846,"['Humanities', 'communication', 'collaboration', 'empathy', 'society']",2019-10-24T00:00:00.000+00:00,1574099993
"What's the best way to get people to change their behavior? In this funny, information-packed talk, psychologist Dan Ariely explores why we make bad decisions even when we know we shouldn't -- and discusses a couple tricks that could get us to do the right thing (even if it's for the wrong reason).",TED Salon Brightline Initiative,How to change your behavior for the better,3849104,913,"['decision-making', 'behavioral economics', 'cognitive science', 'economics', 'motivation', 'humanity', 'psychology', 'self']",2019-06-06T00:00:00.000+00:00,1574092793
"Companies often target consumers based on gender, but this kind of advertising shortcut doesn't just perpetuate outdated stereotypes -- it's also bad for business, says marketing expert Gaby Barrios. In this clear, actionable talk, she explains why gender-based marketing doesn't drive business nearly as much as you might think -- and shows how companies can find better ways to reach customers and grow their brands.",TED@BCG Mumbai,Why gender-based marketing is bad for business,2423083,649,"['business', 'advertising', 'marketing', 'gender', 'social change', 'society']",2019-09-24T00:00:00.000+00:00,1573833354
"Certain elements of childhood -- school, play, homework -- are often considered universal by those who live in industrial societies. Evolutionary anthropologist Dorsa Amir draws from her time living in foraging societies to explain how the post-industrial experience of childhood is a relatively new development for humanity with wide-ranging implications for child development and parenting.",TEDxCambridge,How the Industrial Revolution changed childhood,45000,702,"['Social Science', 'anthropology', 'children', 'parenting', 'history']",2019-05-03T00:00:00.000+00:00,1573780242
"At the US-Mexico border, policies of prolonged detention and family separation have made seeking asylum in the United States difficult and dangerous. In this raw and heartfelt talk, immigration attorney Erika Pinheiro offers a glimpse into her daily work on both sides of the border and shares some of the stories behind the statistics -- including her own story of being detained and separated from her son. It's a clear-eyed call to remember the humanity that's impacted by policy -- and a warning: ""History shows us that the first population to be vilified and stripped of their rights is rarely the last,"" she says.",TED Salon Border Stories,What's really happening at the US-Mexico border -- and how we can do better,2132650,843,"['immigration', 'policy', 'refugees', 'law', 'government', 'social change', 'society', 'justice system']",2019-09-10T00:00:00.000+00:00,1573747042
"Teachers emotionally support our kids -- but who's supporting our teachers? In this eye-opening talk, educator Sydney Jensen explores how teachers are at risk of ""secondary trauma"" -- the idea that they absorb the emotional weight of their students' experiences -- and shows how schools can get creative in supporting everyone's mental health and wellness.",TED Masterclass,How can we support the emotional well-being of teachers?,2630160,691,"['education', 'teaching', 'student', 'emotions', 'psychology', 'community', 'communication']",2019-10-06T00:00:00.000+00:00,1573678196
"In this quick, fun talk, astronaut Cady Coleman welcomes us aboard the International Space Station, where she spent nearly six months doing experiments that expanded the frontiers of science. Hear what it's like to fly to work, sleep without gravity and live life hurtling at 17,500 miles per hour around the Earth. ""The space station is the place where mission and magic come together,"" Coleman says.",TED2019,What it's like to live on the International Space Station,462649,376,"['exploration', 'NASA', 'science', 'universe', 'space', 'technology']",2019-04-15T00:00:00.000+00:00,1573662632
"Many of life's transformative conversations are also the most difficult ones -- those we tend to avoid. In this practical talk, conflict resolution expert Adar Cohen urges us to lean into these exchanges and offers three simple ways to steer them more effectively. ",TEDxKeene,"3 ways to lead tough, unavoidable conversations",139070,945,"['life', 'communication', 'society', 'language', 'Debate']",2019-10-03T00:00:00.000+00:00,1573599554
"In this glimpse into our technological future, cryptographer Craig Costello discusses the world-altering potential of quantum computers, which could shatter the limits set by today's machines -- and give code breakers a master key to the digital world. See how Costello and his fellow cryptographers are racing to reinvent encryption and secure the internet.",TEDxSydney,"In the war for information, will quantum computers defeat cryptographers?",2216077,991,"['quantum physics', 'science', 'technology', 'computers', 'future', 'encryption', 'invention', 'math', 'data', 'physics', 'innovation', 'TEDx']",2019-05-23T00:00:00.000+00:00,1573591751
"We're in the dawn of a new space revolution, says engineer Peter Beck: the revolution of the small. In a talk packed with insights into the state of the space industry, Beck shares his work building rockets capable of delivering small payloads to space rapidly and reliably -- helping us search for extraterrestrial life, learn more about the solar system and create a global internet network.",TED2019,Small rockets are the next space revolution,407309,692,"['3D printing', 'space', 'science', 'technology', 'exploration', 'entrepreneur']",2019-04-15T00:00:00.000+00:00,1573574928
"Which of the following is risky behavior: a person taking cholesterol medicine with grapefruit juice? Or a person taking Acetaminophen before going out for drinks? Or a person on blood thinners who takes an aspirin? Turns out, all of them are risky. Each has inadvertently created a drug interaction that could lead to serious complications. Céline Valéry describes the dangers of mixing substances. [Directed by Cabong Studios, narrated by Susan Zimmerman, music by Matheus Wittmann].",TED-Ed,The dangers of mixing drugs,1325077,285,"['education', 'health', 'animation', 'TED-Ed', 'health care', 'technology', 'healthcare', 'medicine', 'science', 'biology', 'public health', 'physiology', 'human body', 'pharmaceuticals']",2019-11-12T00:00:00.000+00:00,1573574628
"India has one of the world's highest rates of plastic recycling, thanks largely to an extensive network of informal recyclers known as ""kabadiwalas."" Entrepreneur Mani Vajipey discusses his work to organize their massive efforts into a collection system that could put India on the path to ending plastic pollution -- and show the rest of the world how to do it, too.
",TED Talks India: Nayi Baat,How India's local recyclers could solve plastic pollution,268492,576,"['pollution', 'health', 'social change', 'plastic', 'india']",2019-05-21T00:00:00.000+00:00,1573505517
"You know that little pink thing nestled in the corner of your eye? It's actually the remnant of a third eyelid. In humans, it's vestigial, meaning it no longer serves its original purpose. There are several other vestigial structures in the human body, quietly riding along from one of our ancestor species to the next. But why have they stuck around for so long? Dorsa Amir investigates. [Directed by Avi Ofer, narrated by Addison Anderson].",TED-Ed,Why do humans have a third eyelid?,1290480,255,"['animals', 'TED-Ed', 'animation', 'education', 'evolution', 'science', 'human origins', 'history', 'physiology', 'human body', 'biology']",2019-11-11T00:00:00.000+00:00,1573488506
"Human rights protector Rabiaa El Garani shares the challenging, heartbreaking story of sexual violence committed against Yazidi women and girls in Iraq by ISIS -- and her work seeking justice for the survivors. ""These victims have been through unimaginable pain. But with a little help, they show how resilient they are,"" she says. ""It is an honor to bear witness; it is a privilege to seek justice."" (This talk contains mature content.)",TEDMED 2018,Hope and justice for women who've survived ISIS,1781024,901,"['Middle East', 'sexual violence', 'crime', 'war', 'social change', 'violence', 'personal growth', 'women', 'TEDMED']",2018-11-14T00:00:00.000+00:00,1573488089
"The bad backs, elbow pain, and creaky knees so common in older people often aren't just ""old age."" In fact, the source of this stiffness plagues many young people as well. The culprit is arthritis: a condition that affects over 90 million people in the U.S. alone. What makes arthritis so pervasive, and why haven't we found a cure for it? Kaitlyn Sadtler and Heather J. Faust investigate. [Directed by CUB Animation, narrated by Bethany Cutmore-Scott, music by James Wood].",TED-Ed,Why haven't we cured arthritis?,423233,250,"['TED-Ed', 'animation', 'science', 'education', 'human body', 'health care', 'healthcare', 'medical research', 'biology', 'health', 'medicine', 'physiology', 'aging']",2019-11-07T00:00:00.000+00:00,1573239393
"In this lively talk and performance, artist and TED Fellow Amma Y. Ghartey-Tagoe Kootin offers a sneak peek of her forthcoming musical ""At Buffalo."" Drawing on archival material from the 1901 Pan-American Exhibition, a world's fair held in Buffalo, New York, the show examines conflicting representations of black identity exhibited at the fair -- highlighting unsettlingly familiar parallels between American society at the turn of the century and today, and asking: Are we all still part of the show?",TED2019,A historical musical that examines black identity in the 1901 World's Fair,2082940,640,"['TED Fellows', 'music', 'history', 'performance', 'performance art', 'race', 'singer', 'United States']",2019-04-15T00:00:00.000+00:00,1573228989
"Taking inspiration from nature, architect Ma Yansong designs breathtaking buildings that break free from the boxy symmetry of so many modern cities. His exuberant and graceful work -- from a pair of curvy skyscrapers that ""dance"" with each other to an opera house that looks like a snow-capped mountain -- shows us the beauty of architecture that defies norms.",TEDSummit 2019,"Urban architecture inspired by mountains, clouds and volcanoes",383672,771,"['nature', 'cities', 'architecture', 'urban planning', 'art', 'urban', 'beauty']",2019-07-20T00:00:00.000+00:00,1573159906
"Social media has become our new home. Can we build it better? Taking design cues from urban planners and social scientists, technologist Eli Pariser shows how the problems we're encountering on digital platforms aren't all that new -- and shares how, by following the model of thriving towns and cities, we can create trustworthy online communities.",TEDSummit 2019,What obligation do social media platforms have to the greater good?,2003489,1026,"['social media', 'media', 'urban planning', 'Internet', 'community', 'cities', 'public spaces', 'web', 'urban']",2019-07-20T00:00:00.000+00:00,1573142004
"How did the US immigration debate get to be so divisive? In this informative talk, historian and writer Paul A. Kramer shows how an ""insider vs. outsider"" framing has come to dominate the way people in the US talk about immigration -- and suggests a set of new questions that could reshape the conversation around whose life, rights and thriving matters.",TED Salon Border Stories,Our immigration conversation is broken -- here's how to have a better one,2051914,991,"['community', 'human rights', 'history', 'immigration', 'United States', 'society', 'refugees']",2019-09-10T00:00:00.000+00:00,1573055910
"Imagine living with no significant human contact for years, even decades, in a cell the size of a small bathroom. This is the reality for those in long-term solitary confinement, a form of imprisonment regularly imposed in US prisons. In this eye-opening talk, civil rights lawyer Laura Rovner takes us to ADX, the US federal government's only supermax prison, and describes the dehumanizing effects of long-term solitude on the mind, personality and sense of self. What emerges is an urgent case for abolishing solitary confinement -- and evidence for how our tax dollars, public safety and values are implicated in it. ""Prisons are administered in our name and on our behalf,"" she says. ""We have an obligation to bear witness.""",TEDxMileHigh,What happens to people in solitary confinement,2321967,727,"['TEDx', 'law', 'justice system', 'humanity', 'prison', 'social change', 'criminal justice', 'society']",2018-12-01T00:00:00.000+00:00,1572985458
"Given a range of integers from 0 to 100, what would the whole number closest to 2/3 of the average of all numbers guessed be? For example, if the average of all guesses is 60, the correct guess will be 40. The game is played under conditions known to game theorists as ""common knowledge:"" every player has the same information— they also know that everyone else does too. Lucas Husted explains. [Directed by Anton Trofimov, narrated by Addison Anderson].",TED-Ed,Game theory challenge,1042648,280,"['TED-Ed', 'economics', 'animation', 'education', 'math', 'computers', 'science']",2019-11-05T00:00:00.000+00:00,1572973218
"Tashka and Laura Yawanawá lead the Yawanawá people in Acre, Brazil -- a tribe that stewards almost 500,000 acres of Amazon rainforest. As footage of the Amazon burning shocks the world's consciousness, Tashka and Laura call for us to transform this moment into an opportunity to support indigenous people who have the experience, knowledge and tools needed to protect the land.",We the Future,The Amazon belongs to humanity -- let's protect it together,213823,352,"['community', 'conservation', 'indigenous peoples', 'humanity', 'activism', 'society', 'social change', 'South America']",2019-09-24T00:00:00.000+00:00,1572968989
"Dive into the deep with open water swimmer Bhakti Sharma, as she shares what she learned about resilience during her personal journey from the scorching heat of Rajasthan, India to the bone-chilling waters of her record-breaking swim in Antarctica and her courageous crossing of the English Channel. ""In the middle of the ocean, there is nowhere to hide,"" Sharma says.",TED Talks India: Nayi Baat,What open water swimming taught me about resilience,429730,656,"['india', 'self', 'fear', 'mind', 'water', 'sports']",2019-11-02T00:00:00.000+00:00,1572898045
"Before the world of humans began, there was the world of the gods. Four brothers wandered this celestial realm. One day, the brothers snuck into a spirit's house and spotted a giant gourd hanging in the corner. But as they tried to look inside the gourd, they dropped it. It broke apart, releasing a deluge that formed a new world. Bill Keegan details the Taino myth of Deminan and the sea. [Directed by Franz Palomares, narrated by Adrian Dannatt, music by Carlos Palomares]. ",TED-Ed,The Taino myth of the cursed creator,847780,204,"['TED-Ed', 'education', 'culture', 'animation', 'world cultures', 'storytelling', 'history']",2019-11-04T00:00:00.000+00:00,1572883287
"As a ""corporate suit"" (his words) and former VP of sustainability at McDonald's, Bob Langert works with companies and their strongest critics to find solutions that are good for both business and society. In this actionable talk, he shares stories from the decades-long transition into corporate sustainability at McDonald's -- including his work with unlikely partners like the Environmental Defense Fund and Temple Grandin -- and shows why your adversaries can sometimes be your best allies.",TEDSummit 2019,The business case for working with your toughest critics,1528244,900,"['business', 'sustainability', 'collaboration', 'social change', 'society', 'work', 'leadership']",2019-07-20T00:00:00.000+00:00,1572882780
"The cells in your body are like computer software: they're ""programmed"" to carry out specific functions at specific times. If we can better understand this process, we could unlock the ability to reprogram cells ourselves, says computational biologist Sara-Jane Dunn. In a talk from the cutting-edge of science, she explains how her team is studying embryonic stem cells to gain a new understanding of the biological programs that power life -- and develop ""living software"" that could transform medicine, agriculture and energy.",TEDSummit 2019,The next software revolution,2514059,887,"['biology', 'science', 'synthetic biology', 'genetics', 'technology', 'future', 'health', 'DNA', 'biotech', 'medical research', 'medicine']",2019-07-20T00:00:00.000+00:00,1572637583
"Stories help you make sense of your life -- but when these narratives are incomplete or misleading, they can keep you stuck instead of providing clarity. In an actionable talk, psychotherapist and advice columnist Lori Gottlieb shows how to break free from the stories you've been telling yourself by becoming your own editor and rewriting your narrative from a different point of view.",TED@DuPont,How changing your story can change your life,4507286,985,"['psychology', 'self', 'writing', 'storytelling', 'personal growth', 'communication', 'identity']",2019-09-12T00:00:00.000+00:00,1572620448
"The year was 1776. In Bavaria, new ideals of rationalism, religious freedom and universal human rights competed with the Catholic church's heavy influence over public affairs. Adam Weishaupt, a law professor frustrated with the Church's ideology, decided to spread his ideas through a secret society: the Illuminati. Chip Berlet dives into the history, ideals and rituals of the infamous group. [Directed by Brett Underhill, narrated by Addison Anderson, music by Stephen LaRosa]",TED-Ed,Are the Illuminati real?,2426733,274,"['animation', 'history', 'education', 'TED-Ed', 'culture', 'religion', 'identity', 'world cultures', 'democracy', 'politics', 'government', 'human rights']",2019-10-31T00:00:00.000+00:00,1572537852
"Could we anticipate the next big disease outbreak, stopping a virus like Ebola before it ever strikes? In this talk about frontline scientific research, ecologist Daniel Streicker takes us to the Amazon rainforest in Peru where he tracks the movement of vampire bats in order to forecast and prevent rabies outbreaks. By studying these disease patterns, Streicker shows how we could learn to cut off the next pandemic at its source.",TEDMED 2018,What vaccinating vampire bats can teach us about pandemics,2203455,939,"['disease', 'science', 'ebola', 'illness', 'health', 'biology', 'public health', 'medicine', 'Vaccines', 'virus', 'pandemic', 'TEDMED']",2018-11-14T00:00:00.000+00:00,1572533704
"Got an idea to make your workplace better? Labor organizer and TED Fellow Jess Kutch can show you how to put it into action. In this quick talk, she explains how ""productive conflict"" -- when people organize to challenge and change their work lives for the better -- can be beneficial for employees and employers alike.
",TED2019,What productive conflict can offer a workplace,2060525,377,"['work', 'policy', 'social change', 'future', 'communication', 'economics', 'TED Fellows', 'culture', 'community', 'leadership']",2019-04-15T00:00:00.000+00:00,1572465579
"Since 1845, Americans have been voting on Tuesdays -- but why? In this humorous talk, Jacob Soboroff shares the history of Election Day and shows how voting on a Tuesday affects voter turnout. [Directed by TED-Ed].",TED-Ed,Why do Americans vote on Tuesdays?,28163,201,"['animation', 'TED-Ed', 'education', 'United States', 'history', 'democracy', 'politics', 'culture']",2012-04-10T00:00:00.000+00:00,1572452774
"Resource inequality is one of our greatest challenges, but it's not unique to humans. Like us, mycorrhizal fungi that live in plant and tree roots strategically trade, steal and withhold resources, displaying remarkable parallels to humans in their capacity to be opportunistic (and sometimes ruthless) -- all in the absence of cognition. In a mind-blowing talk, evolutionary biologist Toby Kiers shares what fungi networks and relationships reveal about human economies, and what they can tell us about inequality.",TED@BCG Mumbai,Lessons from fungi on markets and economics,1912701,969,"['biology', 'evolution', 'plants', 'trees', 'fungi', 'markets', 'economics', 'business', 'inequality', 'botany']",2019-09-24T00:00:00.000+00:00,1572447645
"Millions of images and videos are uploaded to the internet each day, yet we rarely see shocking and disturbing content in our social media feeds. Who's keeping the internet ""clean"" for us? In this eye-opening talk, documentarians Hans Block and Moritz Riesewieck take us inside the shadowy world of online content moderators -- the people contracted by major platforms like Facebook, Twitter and Google to rid the internet of toxic material. Learn more about the psychological impact of this kind of work -- and how ""digital cleaning"" influences what all of us see and think.",TEDxCERN,"The price of a ""clean"" internet",2039428,937,"['TEDx', 'social media', 'web', 'society', 'activism', 'social change', 'Internet', 'technology']",2018-11-20T00:00:00.000+00:00,1572379417
"Many diseases are driven by metabolites -- small molecules in your body like fat, glucose and cholesterol -- but we don't know exactly what they are or how they work. Biotech entrepreneur and TED Fellow Leila Pirhaji shares her plan to build an AI-based network to characterize metabolite patterns, better understand how disease develops -- and discover more effective treatments.",TED2019,The medical potential of AI and metabolites,1928738,314,"['medicine', 'AI', 'technology', 'biotech', 'disease', 'TED Fellows', 'medical research', 'algorithm']",2019-04-15T00:00:00.000+00:00,1572361717
"Consider the claw. Frequently found on animals around the world, it's one of nature's most versatile tools. Bears use claws for digging as well as defense. An eagle's needle-like talons can pierce the skulls of their prey. Even the ancestors of primates used to wield these impressive appendages, until their claws evolved into nails. So what caused this adaptation? Matthew Borths investigates. [Directed by Augenblick Studios, narrated by Addison Anderson, music by GDM Production Music].",TED-Ed,Claws vs. nails,779599,294,"['animation', 'TED-Ed', 'education', 'evolution', 'animals', 'human origins', 'biology', 'human body', 'science']",2019-10-29T00:00:00.000+00:00,1572361582
"Imagine a future where nobody dies— instead, our minds are uploaded to a digital world. There they could live on in a realistic, simulated environment with avatar bodies, calling in and contributing to the biological world. Mind-uploading has powerful appeal— but what would it actually take to scan a person's brain and upload their mind? Michael S. A. Graziano explores the challenges. [Directed by Lobster Studio, narrated by Addison Anderson, music by Fabrizio Martini].",TED-Ed,How close are we to uploading our minds?,391892,286,"['animation', 'TED-Ed', 'science', 'human body', 'brain', 'technology', 'medicine', 'mind', 'computers', 'education']",2019-10-28T00:00:00.000+00:00,1572357226
"The climate crisis could destroy our entire cultural and ecological heritage in a matter of decades – how can we document everything before it disappears? Archaeologist Chris Fisher explains how we could scan the surface of the Earth, not just as a record for future generations, but as a tool to fight climate change.",TEDxMileHigh,Why we should archive everything on the planet,51364,798,"['archaeology', 'history', 'climate change', 'humanity', 'technology']",2019-06-22T00:00:00.000+00:00,1572293079
"Today, we relate the human microbiome to what it can tell us about our own current health. In this fascinating talk, microbiologist Alisa Kazarina describes how cutting edge research at the crossroads of archaeology and microbiology can trace humanity's physical development while providing insight on how to treat contemporary diseases. ",TEDxRiga,Humanity at the intersection of science and archaeology,12140,865,"['science', 'archaeology', 'human body', 'microbiology', 'health']",2016-06-17T00:00:00.000+00:00,1572293041
"Energy poverty, or the lack of access to electricity and other basic energy services, affects nearly two-thirds of Sub-Saharan Africa. As the region's population continues to increase, so will the need to build a new energy system to grow with it, says Rose M. Mutiso. In a bold talk, she discusses how a balanced mix of solutions like solar, wind farms, geothermal power and modern grids could create a high-energy future for Africa -- providing reliable electricity, creating jobs and raising incomes.",TEDSummit 2019,"How to bring affordable, sustainable electricity to Africa",2011216,780,"['Africa', 'energy', 'global issues', 'solar energy', 'innovation', 'potential', 'sustainability', 'development']",2019-07-20T00:00:00.000+00:00,1572274211
"Neuroscientist Beau Lotto conducted an ambitious study with Cirque du Soleil on the emotion of awe and its psychological and behavioral benefits. In this talk and live performance, he shares some of their findings -- and stands back as Cirque du Soleil dancers create their own awe-inducing spectacle.",TED2019,How we experience awe -- and why it matters,383253,888,"['science', 'creativity', 'brain', 'neuroscience', 'art', 'humanity']",2019-04-15T00:00:00.000+00:00,1572015364
"Is it possible, in these divisive times, to converse with someone you share few similarities with? In this optimistic and practical talk, US Representative Abigail Spanberger describes how running for office compelled her to interact people from all walks of life and ask questions that could help transcend differences and foster collaboration.",TEDxMidAtlantic,How to connect with people who are different than you,49602,740,"['global issues', 'communication', 'politics', 'empathy', 'society']",2019-03-29T00:00:00.000+00:00,1571951793
"How can we stop the spread of misleading, sometimes dangerous content while maintaining an internet with freedom of expression at its core? Misinformation expert Claire Wardle explores the new challenges of our polluted online environment and maps out a plan to transform the internet into a place of trust -- with the help everyday users. ""Together, let's rebuild our information commons,"" she says.",TED2019,How you can help transform the internet into a place of trust,2022940,731,"['Internet', 'technology', 'social change', 'web', 'social media', 'activism', 'society']",2019-04-15T00:00:00.000+00:00,1571947548
"Hephaestus, god of technology, was hard at work on his most ingenious invention yet. He was creating a new defense system for King Minos, who wanted fewer intruders on his island kingdom of Crete. But mortal guards and ordinary weapons wouldn't suffice, so the visionary god devised an indomitable new defender. Adrienna Mayor dives into the myth of Talos: the first robot. [Directed by Cabong Studios, narrated by Alexandra Panzer, music by Matheus Wittmann].",TED-Ed,"The Greek myth of Talos, the first robot",1968525,223,"['animation', 'robot', 'education', 'TED-Ed', 'AI', 'culture', 'robots', 'world cultures', 'history']",2019-10-24T00:00:00.000+00:00,1571946361
"Mangrove forests are crucial to the health of the planet, gobbling up CO2 from the atmosphere and providing a home for a diverse array of species. But these rich habitats are under continual threat from deforestation and industry. In an empowering talk, conservationist and TED Fellow Ashwin Naidu shares how community-driven efforts in South and Southeast Asia are working to protect mangroves -- all with a little help from the mysterious and endangered fishing cat.",TED2019,The link between fishing cats and mangrove forest conservation,1779570,339,"['conservation', 'sustainability', 'community', 'animals', 'science', 'climate change', 'environment', 'TED Fellows']",2019-04-15T00:00:00.000+00:00,1571928667
"On the heels of the breakout success of his film ""Crazy Rich Asians,"" director Jon M. Chu reflects on what drives him to create -- and makes a resounding case for the power of connection and on-screen representation.",TED2019,The pride and power of representation in film,1976542,861,"['film', 'family', 'movies', 'love', 'culture', 'art', 'storytelling']",2019-04-15T00:00:00.000+00:00,1571860148
"How do you fix broken public systems? You spark people's competitive spirit. In a talk about getting people motivated to make change, public sector strategist Abhishek Gopalka discusses how he helped improve the health system of Rajasthan, a state in India home to more than 80 million people, using the powers of transparency and public accountability. ""Motivation doesn't just appear,"" Gopalka says. ""Something needs to change to make you care.""",TED@BCG Mumbai,How motivation can fix public systems,2010885,847,"['india', 'health', 'health care', 'business', 'medicine', 'motivation', 'public health']",2019-09-24T00:00:00.000+00:00,1571841712
"Today, one of the biggest paradoxes in the universe threatens to unravel modern science: the black hole information paradox. Every object in the universe is composed of particles with unique quantum properties and even if an object is destroyed, its quantum information is never permanently deleted. But what happens to that information when an object enters a black hole? Fabio Pacucci investigates. [Directed by Artrake Studio, narrated by Addison Anderson, music by WORKPLAYWORK / Cem Misirlioglu].",TED-Ed,Hawking's black hole paradox explained,2257146,320,"['animation', 'universe', 'TED-Ed', 'science', 'time', 'physics', 'space', 'quantum physics', 'astronomy']",2019-10-22T00:00:00.000+00:00,1571774572
"The danger of artificial intelligence isn't that it's going to rebel against us, but that it's going to do exactly what we ask it to do, says AI researcher Janelle Shane. Sharing the weird, sometimes alarming antics of AI algorithms as they try to solve human problems -- like creating new ice cream flavors or recognizing cars on the road -- Shane shows why AI doesn't yet measure up to real brains.",TED2019,The danger of AI is weirder than you think,529077,628,"['AI', 'technology', 'future', 'computers', 'algorithm', 'machine learning']",2019-04-15T00:00:00.000+00:00,1571765432
"Fashion designers have the power to change culture -- and Becca McCharen-Tran is using her platform to expand the industry's narrow definition of beauty. Sharing highlights of her work, McCharen-Tran discusses the inspiration behind her norm-shattering designs and shows how she's celebrating beauty in all forms. ""I want the consumer to know that it's not your body that needs to change -- it's the clothes,"" she says.",TED Salon The Macallan,Fashion that celebrates all body types -- boldly and unapologetically,1958318,509,"['fashion', 'design', 'social change', 'art', 'gender', 'inclusion', 'human body', 'identity']",2019-06-27T00:00:00.000+00:00,1571755759
"Chak Ek', the morning star, rose from the underworld to the surface of the eastern sea and on into the heavens. His brother K'in Ahaw, the sun, followed. Though Chak Ek' had risen first, K'in Ahaw outshone him, and the resentful Chak Ek' descended back to the underworld to plot against his brother and his allies. Gabrielle Vail details the Maya myth of the morning star. [Directed by Basa, narrated by Nishat Ruiter, music by Igor Figueroa / Mono]. ",TED-Ed,The Maya myth of the morning star,773700,256,"['animation', 'history', 'TED-Ed', 'education', 'culture', 'world cultures']",2019-10-21T00:00:00.000+00:00,1571685936
"What if we could diagnose some of the world's deadliest diseases by the smells our bodies give off? In a fascinating talk and live demo, biologist James Logan introduces Freya, a malaria-sniffing dog, to show how we can harness the awesome powers of animal scent to detect chemical signatures associated with infection -- and change the way we diagnose disease.",TEDxLondon,How we're using dogs to sniff out malaria,314463,1060,"['TEDx', 'science', 'smell', 'animals', 'biology', 'illness', 'disease']",2019-05-18T00:00:00.000+00:00,1571670648
