talk_name,event_cat,views_x,p_year,mws,fkl,mtld,cnt_i,cnt_we,cnt_you,nip_comps_cnt,nip,nvr,time_period,most_frequent_topic
The beautiful balance between courage and fear,TED Women,2336512,2019,17.0,8.1,90.11184872059484,47,26,16,18,0.0302521008403361,1.3952380952380952,4,human feelings
Why winning doesn't always equal success,TED Women,3336529,2019,15.0,9.0,74.75776836158192,40,31,44,13,0.0136986301369863,1.4195804195804196,4,gender equity
How to turn off work thoughts during your free time,TED Salon,3195472,2019,15.0,7.8,62.51038286149734,51,63,43,7,0.0093457943925233,1.069364161849711,4,human feelings
How civilization could destroy itself -- and 4 ways we could prevent it,TED Main,2495387,2019,20.0,11.2,83.73524164418697,43,122,95,32,0.0252167060677699,1.2210144927536233,4,human feelings
¿Como será el cine del futuro?,TEDx,0,2019,13.0,6.7,65.40263623024589,3,46,11,11,0.0148048452220726,1.46875,4,human feelings
What we're getting wrong in the fight to end hunger,TED Women,2122790,2019,19.0,10.4,79.86169115737898,32,85,6,26,0.0355677154582763,1.5970149253731345,4,technology
How we can protect truth in the age of misinformation,TEDx,2298883,2019,20.0,11.5,63.213794395981,3,101,10,21,0.0232558139534883,1.7473684210526317,4,entertainment
Your body was forged in the spectacular death of stars,TED Institute,2131647,2019,19.0,10.5,72.40026936026936,5,27,36,18,0.019271948608137,1.9217391304347824,4,human feelings
How the gut microbes you're born with affect your lifelong health,TED Institute,2458999,2019,23.0,13.9,71.03200546789228,15,35,12,9,0.0140625,1.5748792270531402,4,posessions
Why lakes and rivers should have the same rights as humans,TED Women,3054452,2019,16.0,10.7,58.67278876344146,16,68,38,9,0.0112359550561797,2.066945606694561,4,environment
A guide to collaborative leadership,TED Institute,2336974,2019,17.0,9.1,76.6215826091202,36,41,32,22,0.0258215962441314,1.4295081967213117,4,human feelings
"What is economic value, and who creates it?",TED Summit,2325714,2019,16.0,11.2,84.53102723422671,15,108,52,20,0.0176211453744493,1.7028824833702882,4,human feelings
Why I protest for climate justice,TED Women,1880993,2019,14.0,7.4,72.23123089800217,32,53,54,7,0.0081871345029239,1.1534090909090908,4,human feelings
Can time be wasted?,TEDx,18034,2019,20.5,9.4,76.38351801713236,23,24,53,9,0.0163934426229508,1.0182648401826484,4,human feelings
The unforeseen consequences of a fast-paced world,TEDx,2204095,2019,16.0,8.5,76.42387508358078,7,55,18,9,0.0159010600706713,1.1965811965811963,4,human feelings
The profound power of an authentic apology,TED Women,2361889,2019,11.0,6.5,50.1214842662211,45,21,42,8,0.0159045725646123,0.7511737089201878,4,health
A video game that helps us understand loneliness,TED Salon,2287001,2019,19.0,9.3,83.31902928553396,20,33,44,10,0.0131233595800524,1.2295081967213115,4,human feelings
The problem of light pollution -- and 5 ridiculously easy ways to fix it,TED Institute,2030182,2019,19.0,8.8,83.67108858211101,33,22,37,13,0.016089108910891,1.6150943396226416,4,human feelings
3 ways to be a more effective fundraiser,TEDx,2279614,2019,11.0,5.8,51.06707964010958,67,44,147,18,0.018595041322314,0.9155722326454032,4,human feelings
The incredible chemistry powering your smartphone,TED Institute,2267193,2019,13.0,6.8,77.97149564781628,20,86,44,16,0.0196078431372549,1.1364902506963788,4,environment
How you can use impostor syndrome to your benefit,TEDx,3190566,2019,21.0,11.7,71.43244277423241,80,59,38,20,0.024330900243309,1.2923497267759565,4,human feelings
Why I draw with robots,TED Institute,262899,2019,19.0,10.5,75.7604351133981,38,33,2,6,0.0117647058823529,1.4429223744292237,4,human feelings
The search for our solar system's ninth planet,TED Institute,2803633,2019,18.0,10.3,67.1063198077195,14,45,13,21,0.0252403846153846,1.6714285714285717,4,human feelings
How to save a language from extinction,TED Residency,2188266,2019,18.0,10.2,110.68977930127323,4,14,8,10,0.0246305418719211,1.934959349593496,4,health
3 questions we should ask about nuclear weapons,TEDx,1957032,2019,17.5,9.8,88.77648880419247,18,65,41,12,0.0153452685421994,1.3422053231939164,4,human feelings
Why it's so hard to make healthy decisions,TED MED,3239811,2019,17.0,8.5,75.81954761485653,24,76,39,19,0.0187561697926949,1.4230769230769231,4,posessions
Como hablar con otros que piensan distinto,TEDx,1225602,2019,10.0,5.4,83.5971064520863,24,62,7,11,0.0130023640661938,0.9717741935483872,4,human feelings
How to change your behavior for the better,TED Salon,3849104,2019,11.0,5.4,49.07398958769332,22,116,75,58,0.0635268346111719,1.1363636363636365,4,technology
Why gender-based marketing is bad for business,TED Institute,2423083,2019,26.0,12.1,63.00286750297095,20,51,67,10,0.0154083204930662,1.4075342465753424,4,health
How the Industrial Revolution changed childhood,TEDx,45000,2019,16.5,8.5,84.9171102989842,25,34,20,6,0.0085470085470085,1.4390243902439024,4,health
What it's like to live on the International Space Station,TED Main,462649,2019,17.5,7.6,73.23145045235435,25,28,6,11,0.0292553191489361,1.5677966101694916,4,human feelings
"3 ways to lead tough, unavoidable conversations",TEDx,139070,2019,15.0,7.3,82.6189707080136,45,29,45,32,0.0338624338624338,1.0831234256926952,4,human feelings
"In the war for information, will quantum computers defeat cryptographers?",TEDx,2216077,2019,21.0,11.4,82.32787713233081,7,68,28,32,0.0322906155398587,1.6398809523809523,4,human feelings
Small rockets are the next space revolution,TED Main,407309,2019,18.5,9.3,57.996242258398205,22,56,50,27,0.0390173410404624,1.6738351254480286,4,human feelings
Hope and justice for women who've survived ISIS,TED MED,1781024,2019,18.0,9.9,86.09815400843883,43,23,11,23,0.025527192008879,1.6097560975609757,4,health
A historical musical that examines black identity in the 1901 World's Fair,TED Main,2082940,2019,20.5,14.7,86.89908031882281,6,29,3,10,0.015625,2.4203821656050954,4,human feelings
"Urban architecture inspired by mountains, clouds and volcanoes",TED Summit,383672,2019,13.0,7.1,58.84300007336259,39,41,24,13,0.0168612191958495,1.5555555555555556,4,human feelings
What obligation do social media platforms have to the greater good?,TED Summit,2003489,2019,18.0,9.4,95.04503111114448,19,68,20,17,0.016569200779727,1.4986376021798364,4,human feelings
Our immigration conversation is broken -- here's how to have a better one,TED Salon,2051914,2019,20.0,10.3,67.85037997460223,9,62,7,10,0.0100908173562058,1.5796178343949046,4,human feelings
What happens to people in solitary confinement,TEDx,2321967,2019,15.0,7.8,100.24159471035428,7,27,15,15,0.0206327372764786,1.962025316455696,4,entertainment
The business case for working with your toughest critics,TED Summit,1528244,2019,14.0,7.5,78.9574898425041,58,63,37,18,0.02,1.3238636363636365,4,environment
The next software revolution,TED Summit,2514059,2019,21.0,11.5,75.8491345084961,4,86,31,11,0.012401352874859,1.3890339425587468,4,environment
How changing your story can change your life,TED Institute,4507286,2019,16.0,7.2,75.79203558970187,94,71,77,13,0.0131979695431472,0.965451055662188,4,health
What vaccinating vampire bats can teach us about pandemics,TED MED,2203455,2019,19.0,8.9,80.13864667789085,20,126,22,28,0.0298189563365282,1.2534883720930232,4,environment
What productive conflict can offer a workplace,TED Main,2060525,2019,24.5,10.3,84.46612824356052,18,24,22,10,0.026525198938992,1.3355704697986577,4,human feelings
Lessons from fungi on markets and economics,TED Institute,1912701,2019,17.0,9.9,80.84615384615384,18,48,23,14,0.0144478844169246,1.5656565656565655,4,environment
"The price of a ""clean"" internet",TEDx,2039428,2019,16.5,10.8,93.34192597256038,8,43,17,13,0.0138740661686232,1.9397590361445785,4,human feelings
The medical potential of AI and metabolites,TED Main,1928738,2019,15.0,11.5,97.21210193931768,8,17,3,7,0.0222929936305732,1.694736842105263,4,posessions
Why we should archive everything on the planet,TEDx,51364,2019,14.5,8.6,102.3246430933548,37,50,9,18,0.0225563909774436,1.7016129032258065,4,environment
Humanity at the intersection of science and archaeology,TEDx,12140,2019,15.0,8.7,93.79710208178764,15,34,27,23,0.0265895953757225,2.038961038961039,4,posessions
"How to bring affordable, sustainable electricity to Africa",TED Summit,2011216,2019,22.0,13.3,111.31309005083514,6,48,13,22,0.0282051282051282,2.1967871485943773,4,environment
How we experience awe -- and why it matters,TED Main,383253,2019,10.0,7.8,51.8949204316719,5,60,53,11,0.0123873873873873,1.3146551724137931,4,human feelings
How to connect with people who are different than you,TEDx,49602,2019,16.5,9.8,52.27100363623401,73,49,57,14,0.0189189189189189,1.193181818181818,4,technology
How you can help transform the internet into a place of trust,TED Main,2022940,2019,17.5,9.8,107.20759916939257,10,66,20,15,0.0205198358413132,1.5016835016835015,4,entertainment
The link between fishing cats and mangrove forest conservation,TED Main,1779570,2019,26.0,13.8,98.68943125839678,3,20,6,10,0.0294985250737463,2.061855670103093,4,environment
The pride and power of representation in film,TED Main,1976542,2019,17.0,9.4,69.98303738869276,91,59,50,11,0.0127758420441347,1.2831632653061225,4,human feelings
How motivation can fix public systems,TED Institute,2010885,2019,14.0,8.3,78.8483452193208,6,49,37,25,0.0295159386068477,1.7427385892116185,4,entertainment
The danger of AI is weirder than you think,TED Main,529077,2019,21.0,8.6,57.882496830134144,10,34,22,2,0.0031847133757961,1.1857142857142855,4,economy
Fashion that celebrates all body types -- boldly and unapologetically,TED Salon,1958318,2019,18.0,10.4,102.994791807547,18,31,11,6,0.0117878192534381,1.5073891625615763,4,human feelings
How we're using dogs to sniff out malaria,TEDx,314463,2019,18.0,9.5,61.96942968073573,13,102,73,17,0.0160377358490566,1.1461377870563674,4,gender equity
How nanoparticles could change the way we treat cancer,TEDx,389973,2019,14.0,9.4,61.41587301587302,6,40,9,6,0.009188361408882,1.7540106951871657,4,posessions
A love story for the coral reef crisis,TED Main,312893,2019,18.0,9.1,126.768142046026,11,12,5,17,0.0422885572139303,2.027272727272728,4,environment
A circular economy for salt that keeps rivers clean,TED Institute,1831756,2019,18.0,10.1,64.16882403200204,16,37,20,40,0.0500625782227784,2.0454545454545454,4,environment
Why our future relies on the genetic diversity of food,TEDx,26643,2019,16.0,7.7,95.3210897096551,4,27,31,16,0.0288808664259927,1.8421052631578947,4,human feelings
The psychological impact of child separation at the US-Mexico border,TED Salon,2037238,2019,14.0,7.5,71.06027307381561,39,42,20,11,0.0123734533183352,1.6411149825783973,4,human feelings
How we can eliminate child sexual abuse material from the internet,TED Main,1774074,2019,20.0,10.1,82.79594108852626,11,48,13,38,0.0457831325301204,1.5852713178294573,4,technology
"After billions of years of monotony, the universe is waking up",TED Main,2179706,2019,16.0,9.6,79.13715414733878,4,29,2,17,0.0186813186813186,2.2429378531073447,4,health
Revelations from a lifetime of dance,TED Main,269039,2019,17.0,9.5,46.03373819163293,36,67,36,3,0.0029268292682926,1.4501845018450183,4,human feelings
What Bruce Lee can teach us about living fully,TED Salon,2421853,2019,14.0,7.2,43.1325550583793,34,29,65,1,0.0014947683109118,1.1917808219178083,4,health
How we're using DNA tech to help farmers fight crop diseases,TED Summit,1759555,2019,14.0,7.6,69.22158357771261,26,65,3,24,0.0321285140562249,1.7130801687763713,4,environment
A personal plea for humanity at the US-Mexico border,TED Salon,1981612,2019,14.5,6.4,44.96699841894028,7,38,63,6,0.0097560975609756,1.360323886639676,4,health
How we're helping local reporters turn important stories into national news,TED Main,1632542,2019,20.0,12.1,90.8373551373242,14,13,4,15,0.0526315789473684,1.6213592233009708,4,technology
The transformative power of video games,TED Main,1820392,2019,16.0,8.9,76.09460001857872,26,56,46,22,0.0305555555555555,1.293103448275862,4,human feelings
Reducing corruption takes a specific kind of investment,TED Salon,2081138,2019,16.0,11.0,96.5008315322023,20,31,11,9,0.0127659574468085,1.7657657657657655,4,human feelings
Why language is humanity's greatest invention,TEDx,1569159,2019,15.0,8.3,60.13170246957624,40,27,46,14,0.0160366552119129,1.465940054495913,4,economy
What happens in your brain when you taste food,TED Institute,3410240,2019,21.0,11.0,69.90817064156359,37,76,13,21,0.0255164034021871,1.474074074074074,4,human feelings
What the US health care system assumes about you,TED MED,1417349,2019,17.0,9.3,75.66349451888698,36,30,46,11,0.0114583333333333,1.49079754601227,4,posessions
How community-led conservation can save wildlife,TED Main,1897230,2019,20.0,10.8,83.39023643268406,21,7,5,3,0.0094936708860759,1.5,4,health
Why you should shop at your local farmers market,TED Residency,1878561,2019,23.0,11.9,119.63750946176182,0,11,17,14,0.0383561643835616,2.2,4,technology
How we experience time and memory through art,TED Main,248029,2019,21.0,10.0,53.45475593962216,66,31,45,13,0.0156438026474127,1.444108761329305,4,human feelings
Porque le enseño a niños como yo a programar,TEDx,2088246,2019,15.0,7.4,71.41382112077136,55,51,42,13,0.0146892655367231,1.184115523465704,4,environment
Creativity builds nations,TED Main,246815,2019,21.5,15.8,41.46271929824562,28,40,45,17,0.0237430167597765,1.2798507462686568,4,technology
How one tree grows 40 different kinds of fruit,TED Salon,503003,2019,27.0,12.9,69.42125084631009,43,30,7,15,0.0219298245614035,1.6496350364963503,4,environment
A wall won't solve America's border problems,TED Salon,1868659,2019,21.0,11.7,66.50494263018535,41,86,62,33,0.0316395014381591,1.4953488372093022,4,technology
How we're building the world's largest family tree,TED MED,1943265,2019,19.0,10.7,85.49454060725029,3,50,17,17,0.0249266862170087,2.356382978723404,4,environment
How couples can sustain a strong sexual connection for a lifetime,TEDx,3177323,2019,17.0,9.2,61.14640962002434,32,23,55,15,0.0251256281407035,1.3682008368200838,4,health
Can seaweed help curb global warming?,TED Summit,2954105,2019,16.0,8.2,76.72217549835271,21,118,39,22,0.0261904761904761,1.4521739130434783,4,environment
A bold plan to empower 1.6 million out-of-school girls in India,TED Main,1749231,2019,14.0,7.8,57.88811818246075,11,47,12,20,0.0333889816360601,1.3943661971830985,4,technology
We need to track the world's water like we track the weather,TED Summit,3060233,2019,21.0,10.1,95.88044406094008,11,62,14,9,0.0111248454882571,1.6360424028268552,4,environment
4 questions you should always ask your doctor,TEDx,2461473,2019,15.0,7.8,82.27908263649778,24,13,54,14,0.0204379562043795,1.365546218487395,4,posessions
This could be why you're depressed or anxious,TED Summit,9506677,2019,16.0,9.1,74.18766115212861,86,96,105,29,0.0235580828594638,1.1256117455138663,4,human feelings
How we use astrophysics to study earthbound problems,TED Main,1879017,2019,20.0,9.9,97.1677741308124,16,20,3,7,0.0220820189274447,1.823008849557522,4,entertainment
A free world needs satire,TED Summit,474791,2019,13.0,8.2,97.5537139349294,9,52,21,12,0.0138568129330254,2.013574660633484,4,entertainment
How climate change could make our food less nutritious,TED Main,2212479,2019,13.0,9.4,62.60672839379303,2,44,24,20,0.0303030303030303,1.875,4,environment
What streaming means for the future of entertainment,TED Main,320682,2019,22.0,9.7,85.69473029584424,27,42,51,28,0.0312849162011173,1.540192926045016,4,human feelings
The dirty secret of capitalism -- and a new way forward,TED Summit,4394189,2019,24.5,15.7,74.59370906348684,10,49,33,21,0.0205278592375366,1.6496350364963503,4,human feelings
Community-powered criminal justice reform,TEDx,1663052,2019,19.0,10.3,69.26234631550449,4,66,12,17,0.0219638242894056,1.7158273381294964,4,entertainment
What reading slowly taught me about writing,TED Main,2637195,2019,22.0,12.3,67.4888243116988,31,45,2,5,0.0076452599388379,1.2938931297709924,4,health
How deepfakes undermine truth and threaten democracy,TED Summit,1956464,2019,13.5,7.3,89.8786254598341,4,56,19,5,0.0062814070351758,1.458041958041958,4,entertainment
How your emotions change the shape of your heart,TED Summit,3956259,2019,19.0,11.8,103.12663875408909,2,48,4,15,0.0155925155925155,2.2510460251046025,4,posessions
"A ""living drug"" that could change the way we treat cancer",TED MED,1926201,2019,18.0,8.7,71.85610233741434,6,53,14,37,0.0407040704070407,2.327338129496403,4,posessions
How we can make racism a solvable problem -- and improve policing,TED Main,2201953,2019,20.0,10.1,75.41327015060601,16,40,35,16,0.0218281036834924,1.475,4,technology
Why you should be a climate activist,TEDx,2473444,2019,17.0,9.2,70.16116090596823,41,72,51,40,0.037629350893697,1.2946175637393769,4,environment
A global initiative to end violence against children,TED Summit,29347,2019,17.0,9.4,79.27814333432161,13,38,13,19,0.0287009063444108,1.6564885496183206,4,health
Inside the bizarre world of internet trolls and propagandists,TED Main,2207534,2019,16.0,9.4,77.18946919043711,47,43,45,11,0.0125570776255707,1.2297650130548303,4,entertainment
"""Stumbling towards intimacy""",TED Main,466756,2019,22.0,16.8,54.52519106407996,8,46,21,12,0.0178837555886736,1.4081632653061225,4,human feelings
How porn changes the way teens think about sex,TED MED,3175097,2019,20.0,11.2,80.7776963345641,32,62,18,20,0.0219298245614035,1.3119533527696794,4,health
What happened when we paired up thousands of strangers to talk politics,TED Summit,1925151,2019,16.0,9.4,92.18083427885072,15,64,16,33,0.0399515738498789,1.684873949579832,4,environment
A 13-year-old's plan for removing plastic from the oceans,TEDx,38965,2019,12.5,7.3,92.1155498281787,17,12,13,8,0.0190023752969121,1.6517857142857142,4,environment
A climate change solution that's right under our feet,TED Main,1946289,2019,27.0,14.8,72.80064740564889,6,36,9,24,0.0291970802919708,2.146788990825688,4,environment
What I learned about freedom after escaping North Korea,TED Main,4135618,2019,15.0,6.7,61.29133761105626,43,22,27,7,0.0108024691358024,1.1022727272727273,4,health
How I help people understand vitiligo,TED Salon,2552241,2019,12.0,6.0,64.35574483943985,82,21,23,11,0.0116525423728813,1.0909090909090908,4,health
Can we choose to fall out of love?,TEDx,2640283,2019,20.0,9.7,72.84723969631236,57,40,20,9,0.0128571428571428,1.546938775510204,4,human feelings
Emergency medicine for our climate fever,TED Summit,1879055,2019,21.5,11.5,116.81453988630986,6,45,4,16,0.0179977502812148,2.1281138790035588,4,environment
How climate change affects your mental health,TED Residency,2412411,2019,24.0,14.0,122.04622470375438,2,23,18,17,0.0376940133037694,1.7362637362637363,4,human feelings
How the West can adapt to a rising Asia,TED Main,2182329,2019,16.5,9.7,59.73282058850481,29,73,21,37,0.0344827586206896,1.758364312267658,4,human feelings
What ping-pong taught me about life,TED Summit,2231702,2019,28.0,12.7,122.55788913732772,28,23,17,19,0.0249017038007863,1.5128205128205128,4,human feelings
The power to think ahead in a reckless age,TED Main,2540355,2019,22.5,11.1,74.64570267131242,22,54,10,15,0.0189873417721519,1.4296028880866427,4,health
A Holocaust survivor's blueprint for happiness,TEDx,669627,2019,16.5,6.7,66.96920672653636,60,9,26,10,0.0140252454417952,1.5517241379310345,4,human feelings
"Family, hope and resilience on the migrant trail",TED Summit,2014574,2019,15.0,9.7,102.34833464456358,23,21,17,12,0.0144404332129963,2.3617021276595747,4,technology
How craving attention makes you less creative,TED Main,5924590,2019,16.0,8.7,60.6201286796712,84,37,42,16,0.020125786163522,0.9444444444444444,4,human feelings
The benefits of music education,TEDx,241233,2019,17.0,9.5,63.558763825561726,35,73,13,21,0.0199240986717267,1.4293478260869563,4,human feelings
La música de las ideas,TEDx,322371,2019,7.0,5.2,50.16178230707554,44,50,48,24,0.0196721311475409,1.2557544757033248,4,environment
How music makes me a better neuroscientist,TEDx,74897,2019,23.0,10.3,72.72507665365073,65,34,79,16,0.014519056261343,1.3771289537712896,4,human feelings
When do kids start to care about other people's opinions?,TEDx,673669,2019,18.0,11.1,76.47890684090046,18,52,17,22,0.0360065466448445,1.2209302325581397,4,environment
"""You Have the Rite""",TED Main,3285816,2019,19.0,8.0,90.27436358305609,22,5,14,10,0.0230414746543778,1.948717948717949,4,human feelings
The human skills we need in an unpredictable world,TED Summit,3607038,2019,21.0,11.8,88.9865544414804,12,60,14,6,0.0063025210084033,1.209375,4,environment
What's at the bottom of the ocean -- and how we're getting there,TED Main,912087,2019,18.0,8.4,64.71177083333333,15,43,38,27,0.0573248407643312,1.5507246376811594,4,human feelings
What it was like to grow up under China's one-child policy,TED Main,3286835,2019,16.0,7.9,77.97874116891458,22,8,6,9,0.0252808988764044,1.248062015503876,4,health
How sharks could inspire a new generation of medical devices,TEDx,54401,2019,15.0,8.8,85.64800256081946,2,38,9,7,0.0123239436619718,1.8225806451612905,4,environment
Why the world needs sharks,TEDx,195034,2019,13.0,8.1,79.17220077220077,50,68,55,30,0.0286532951289398,1.3546910755148742,4,environment
How policewomen make communities safer,TED Main,1931951,2019,15.0,9.6,75.3,4,22,2,8,0.0227920227920227,2.1142857142857143,4,technology
Why governments should prioritize well-being,TED Summit,2396895,2019,18.5,13.5,62.12968154675482,14,55,6,2,0.0033333333333333,2.055555555555556,4,human feelings
The new political story that could change everything,TED Summit,3645036,2019,17.0,11.6,73.81830606069693,9,79,10,2,0.0021857923497267,1.4883720930232558,4,technology
"An urgent call to protect the world's ""Third Pole""",TED Summit,2025789,2019,13.0,7.8,64.26386092675077,22,33,8,28,0.0320733104238258,1.7316017316017316,4,environment
The real relationship between your age and your chance of success,TEDx,3360195,2019,17.0,10.1,66.80719490708032,29,74,71,27,0.0276639344262295,1.3272251308900525,4,gender equity
How to use family dinner to teach politics,TED Summit,3487810,2019,26.5,13.1,77.03550388507232,35,29,35,6,0.0088105726872246,1.2983870967741935,4,health
The architectural wonder of impermanent cities,TED Main,1931799,2019,16.5,9.7,65.0815228578119,16,38,10,26,0.0318237454100367,1.9327731092436973,4,environment
How a typeface helped launch Apollo,TEDx,370854,2019,17.0,8.4,62.435400751310056,18,46,58,13,0.0150115473441108,1.5691056910569106,4,human feelings
"How we can improve maternal healthcare -- before, during and after pregnancy",TED MED,1948452,2019,17.0,10.8,81.77803101547353,20,58,7,25,0.0272628135223555,2.323024054982818,4,posessions
A new way to get every child ready for kindergarten,TED Main,2268342,2019,17.5,9.1,68.91710526315791,6,41,19,19,0.0329861111111111,1.806122448979592,4,human feelings
The fundamental right to seek asylum,TEDx,1901284,2019,21.0,9.9,73.94222075134243,12,29,22,16,0.0244274809160305,1.8130841121495327,4,technology
"Mentalism, mind reading and the art of getting inside your head",TED Main,1685496,2019,7.5,5.5,51.683577586206894,59,53,132,8,0.0092915214866434,1.04,4,environment
The fascinating (and dangerous) places scientists aren't exploring,TED Main,2305216,2019,18.0,9.7,77.4099550494504,44,52,29,11,0.0115424973767051,1.5827814569536425,4,environment
How we're honoring people overlooked by history,TED Salon,2002805,2019,16.5,8.1,96.26999136160764,44,56,14,20,0.0303030303030303,1.5424354243542435,4,health
Origami robots that reshape and transform themselves,TED Main,754962,2019,16.0,7.5,66.6867656543362,15,23,40,9,0.0120643431635388,1.2295081967213115,4,human feelings
The future of psychedelic-assisted psychotherapy,TED Main,3391260,2019,19.0,11.1,69.16366677087741,22,38,16,20,0.0201612903225806,1.6636904761904765,4,human feelings
Grief and love in the animal kingdom,TED Main,3302361,2019,15.0,8.0,74.25942549371634,41,70,18,11,0.0124716553287981,1.3153409090909092,4,human feelings
3 ways to measure your adaptability -- and how to improve it,TED Residency,3549181,2019,12.0,8.8,114.17819560218308,19,13,15,10,0.0255754475703324,1.4024390243902438,4,human feelings
A vision for the future of Sierra Leone,TED Main,1814332,2019,18.0,12.5,111.55267076050214,38,41,18,19,0.0195272353545734,2.0748898678414096,4,human feelings
What emotions look like in a dog's brain,TEDx,1684135,2019,15.0,6.6,59.92273087703968,27,112,32,21,0.0193905817174515,1.434782608695652,4,human feelings
How augmented reality is changing activism,TED Residency,448733,2019,20.0,10.7,96.00347662155714,4,32,6,8,0.0191846522781774,1.959731543624161,4,technology
"The next big thing is coming from the Bronx, again",TED Main,1931991,2019,17.0,8.3,90.0806862639532,21,38,10,4,0.0068027210884353,1.969135802469136,4,health
"How to ask for help -- and get a ""yes""",TED Salon,2975109,2019,19.0,10.6,73.50091451727806,37,32,87,9,0.0126227208976157,0.7857142857142857,4,human feelings
Why we need to fight misinformation about vaccines,TEDx,2159032,2019,20.0,10.2,54.63123455254123,71,15,29,6,0.0136054421768707,1.0127659574468084,4,health
Why kids need to learn about gender and sexuality,TED Residency,2477592,2019,17.0,8.7,75.77393469839514,30,19,11,14,0.0299785867237687,1.7753623188405796,4,health
Architectural secrets of the world's ancient wonders,TED Main,744771,2019,24.0,11.8,120.59316949955269,1,9,5,3,0.0114503816793893,1.4216867469879515,4,human feelings
"""A Bird Made of Birds""",TED Main,2977438,2019,14.5,13.3,65.07300340100134,16,7,10,4,0.0136518771331058,1.2771084337349397,4,human feelings
The living tech we need to support human life on other planets,TEDx,374047,2019,17.0,8.4,70.67859978380811,29,67,105,7,0.0071428571428571,1.3714285714285714,4,environment
What almost dying taught me about living,TED Main,4226911,2019,18.0,10.0,95.25820626486058,95,34,33,11,0.0105465004793863,1.293956043956044,4,human feelings
How synthetic biology could wipe out humanity -- and how we can stop it,TED Main,2313714,2019,15.0,8.3,124.44939024390246,11,50,16,38,0.038152610441767,1.476608187134503,4,human feelings
5 challenges we could solve by designing new proteins,TED Main,2079551,2019,18.0,11.5,80.04550804236955,3,45,21,20,0.0323101777059773,2.0423280423280423,4,environment
How ocean noise destroys marine ecosystems,TEDx,51758,2019,16.0,7.5,74.08935764407818,14,93,29,17,0.0183387270765911,1.4726775956284153,4,environment
The political power of being a good neighbor,TED Main,2727894,2019,18.0,9.7,61.61705408549727,82,95,16,33,0.031578947368421,1.5213675213675213,4,health
My life as a work of art,TED Main,421624,2019,12.0,7.3,74.33974275089693,57,13,33,12,0.0214669051878354,1.1598173515981736,4,human feelings
The true power of a good outfit,TEDx,72931,2019,15.0,8.7,139.20413460356374,16,47,29,8,0.00836820083682,1.7800687285223369,4,human feelings
Why we get mad -- and why it's healthy,TEDx,3231471,2019,15.0,9.0,63.35262778777663,28,59,133,10,0.0127226463104325,1.0343915343915344,4,human feelings
3 steps to turn everyday get-togethers into transformative gatherings,TED Main,2443503,2019,15.5,11.8,84.54118983432122,24,29,19,14,0.0226904376012965,1.44,4,health
The mysterious microbes living deep inside the earth -- and how they could help humanity,TED Main,2040808,2019,22.0,10.6,91.06439514760946,17,62,37,11,0.0131108462455303,1.486322188449848,4,environment
"The most detailed map of galaxies, black holes and stars ever made",TED Main,2614763,2019,15.0,6.0,66.27066461669922,8,50,44,31,0.0363423212192262,1.7991803278688523,4,human feelings
An ingenious proposal for scaling up marine protection,TED Main,1906909,2019,12.0,8.8,119.60062431142124,0,11,9,13,0.0407523510971786,1.9140625,4,environment
The healing power of reading,TEDx,2873366,2019,13.0,6.0,54.983106657122406,84,46,35,14,0.012646793134598,1.0821596244131455,4,health
The lies our culture tells us about what matters -- and a better way to live,TED Main,4639901,2019,13.0,7.8,52.06878009643375,43,74,85,32,0.0357941834451901,1.344988344988345,4,health
"""Everything happens for a reason"" -- and other lies I've loved",TED MED,6391064,2019,17.0,7.2,63.98062538155861,112,21,19,10,0.0112485939257592,1.1358381502890174,4,human feelings
¿Cómo podríamos viajar más rápido que la velocidad de la luz?,TEDx,589992,2019,22.0,10.4,61.15405803865978,32,61,27,23,0.0245464247598719,1.4812680115273775,4,human feelings
How artificial light affects our health,TEDx,20431,2019,23.0,9.6,65.4788201595089,32,32,78,10,0.0133868808567603,1.5833333333333333,4,human feelings
Why we need darkness,TEDx,38585,2019,13.0,7.5,100.3954773464181,10,30,45,16,0.0228898426323319,1.8872549019607845,4,human feelings
"Floating cities, the LEGO House and other architectural forms of the future",TED Main,1106606,2019,20.0,10.0,63.000096020256336,4,98,22,23,0.0248917748917748,1.6646706586826348,4,environment
The amazing brains and morphing skin of octopuses and other cephalopods,TED Main,893949,2019,19.0,9.1,79.81097101559979,10,53,34,20,0.0246913580246913,1.411371237458194,4,environment
The story we tell about millennials -- and who we leave out,TED Salon,2218095,2019,22.0,11.0,84.2163729952882,19,41,11,10,0.0145348837209302,1.6588235294117648,4,health
"How to deconstruct racism, one headline at a time",TED Main,5034374,2019,18.0,10.5,82.1687422331509,42,55,20,14,0.0138613861386138,1.686609686609687,4,technology
These bacteria eat plastic,TEDx,2287435,2019,19.0,10.6,85.44763622782088,16,20,8,7,0.0126582278481012,1.6927710843373494,4,environment
What prosecutors and incarcerated people can learn from each other,TED Salon,1992231,2019,20.5,9.9,96.30301629492662,61,37,9,14,0.0193370165745856,1.4918032786885247,4,entertainment
My identity is a superpower -- not an obstacle,TED Main,2729113,2019,18.0,8.9,58.481417081413255,71,26,7,9,0.010688836104513,1.169064748201439,4,health
What surviving the Columbine shooting taught me about pain,TEDx,730183,2019,13.0,7.5,78.2051178408675,50,53,55,21,0.0233592880978865,1.3036211699164346,4,human feelings
